floy_id,species,mussel_id,X4.28.2017,X4.29.2017,X4.30.2017,X8.1.2017,X8.2.2017,X8.3.2017,X11.10.2017,X11.11.2017,X11.12.2017,X4.20.2018,X4.21.2018,X4.22.2018,X8.10.2018,X8.11.2018,X8.12.2018
W219,QUHO,W219-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W219W698,AMPL,W219W698-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W220,QUHO,W220-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W221,QUHO,W221-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W222,QUHO,W222-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W223,QUHO,W223-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W223W225,AMPL,W223W225-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W224,QUHO,W224-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W224W227,AMPL,W224W227-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W225,QUHO,W225-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W226,QUHO,W226-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W226W228,AMPL,W226W228-AMPL,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W227,QUHO,W227-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W229W911,AMPL,W229W911-AMPL,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W230,QUPE,W230-QUPE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W230W232,AMPL,W230W232-AMPL,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
W231,QUHO,W231-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W233W234,AMPL,W233W234-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W235W236,AMPL,W235W236-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W236,QUHO,W236-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W237W240,AMPL,W237W240-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W238W241,AMPL,W238W241-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W239W242,AMPL,W239W242-AMPL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W243W246,AMPL,W243W246-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W244W247,AMPL,W244W247-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W245W248,AMPL,W245W248-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W250W251,AMPL,W250W251-AMPL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W252W254,AMPL,W252W254-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
