floy_id,pit_id,species
Y334,3D6.001879B81F,QUPE
Y334,3D6.00188BD640,QUPE
Y335,3D6.001879B829,QUPE
Y335,3D6.00188BD60F,QUPE
Y336,3D6.001879B82D,QUPE
Y337,3D6.001879B7E5,QUPE
Y338,3D6.001879B821,QUPE
Y338,3DD.003C00D6AF,QUPE
Y339,3D6.001879B7FA,QUPE
Y340,3D6.001879B820,QUPE
Y340,3D6.1D59306418,QUPE
Y341,3D6.001879B7DC,QUPE
Y342,3D6.001879B826,QUPE
Y343,3D6.001879B7F7,QUPE
Y343,3D6.1D5930643C,QUPE
Y344,3D6.001879B7D4,QUPE
Y345,3D6.001879B7E6,QUPE
Y346,3D6.001879B803,QUPE
Y347,3D6.001879B81A,QUPE
Y348,3D6.001879B80D,QUPE
Y348,3DD.003C023119,QUPE
Y349,3D6.001879B82A,QUPE
Y350,3D6.001879B7D0,QUHO
Y351,3D6.001879B7FB,QUHO
Y352,3D6.001879B7EF,QUHO
Y353,3D6.001879B819,QUHO
Y354,3D6.001879B7E7,QUHO
Y355,3D6.001879B7F3,QUHO
Y356,3D6.001879B7EA,QUHO
Y357,3D6.001879B7FF,QUHO
Y357,3D6.1D59306402,QUHO
Y358,3D6.001879B814,QUHO
Y358,3DD.003C00D6A0,QUHO
Y359,3D6.001879B804,QUHO
Y360,3D6.001879B822,QUHO
Y361,3D6.001879B805,QUHO
Y362,3D6.001879B7E9,QUHO
Y363,3D6.001879B7D3,QUHO
Y364,3D6.001879B82C,QUHO
Y365,3D6.001879B811,QUPE
Y366,3D6.001879B7E0,QUPE
Y367,3D6.001879B7F5,QUPE
Y368,3D6.001879B80A,QUPE
Y369,3D6.001879B7D6,QUPE
Y370,3D6.001879B7DB,QUPE
Y371,3D6.001879B824,QUPE
Y372,3D6.001879B7FC,QUPE
Y372,3DD.003C07F83C,QUHO
Y372,3DD.003C07F83C,QUPE
Y373,3D6.001879B7FE,QUPE
Y374,3D6.001879B7CF,QUPE
Y375,3D6.001879B7E2,QUPE
Y376,3D6.001879B818,QUPE
Y377,3D6.001879B7DE,TRMA
Y378,3D6.001879B816,TRMA
Y379,3D6.001879B7F6,TRMA
Y474/475,,AMPL
Y662,3DD.003C00D681,QUPE
Y663,3DD.003C00D6B8,QUPE
Y664,3DD.003C00D69A,QUPE
Y665,3DD.003C00D688,QUPE
Y666,3DD.003C00D6A4,QUPE
Y667,3DD.003C00D6BE,QUPE
Y668,3DD.003C00D6B9,QUPE
Y669,3DD.003C00D68B,QUPE
Y670,3D6.00188BD605,QUPE
Y671,3DD.003C00D6CC,QUHO
Y672,3DD.003C00D6A6,QUHO
Y673,3DD.003C00D6E0,QUHO
Y674,3DD.003C00D6A2,QUHO
Y675,3DD.003C00D6D1,QUHO
Y676,3D6.00188BD614,QUPE
Y677,3DD.003C00D6C6,QUHO
Y678,3DD.003C00D6BF,QUHO
Y679,3DD.003C00D68E,QUHO
Y680,3DD.003C00D6DC,QUHO
Y681,3DD.003C00D692,QUHO
Y682,3DD.003C00D6D7,QUHO
Y683,3DD.003C00D6CE,QUHO
Y684,3D6.00188BD637,QUHO
Y685,3DD.003C00D6B2,QUHO
Y686,3DD.003C00D6BD,QUHO
Y686,3DD.003C023100,QUHO
Y687,3DD.003C00D6B1,QUHO
Y688,3DD.003C00D6B0,QUHO
Y689,3DD.003C00D6C9,QUHO
Y690,3DD.003C00D6C4,QUHO
Y691,3DD.003C00D6B7,QUHO
Y692,3DD.003C00D6C3,QUHO
Y693,3DD.003C00D6A8,QUHO
Y694,3DD.003C00D6A5,QUHO
Y695,3DD.003C00D6D6,QUHO
Y696,3DD.003C00D6BA,QUHO
Y697,3DD.003C00D6D3,QUHO
Y701,,QUPE
Y702,3DD.003C00D695,QUHO
Y702,3D6.1D59306410,QUHO
Y703,3DD.003C00D6C1,QUPE
Y704,3DD.003C00D6AD,QUPE
Y705,3DD.003C00D686,QUPE
Y706,3D6.00188BD63E,QUPE
Y707,3D6.00188BD62A,QUHO
Y708,3D6.00188BD631,QUHO
Y709,3D6.00188BD61A,QUHO
Y725,3D6.00188BD5DD,QUHO
Y726,3D6.00188BD626,QUHO
Y727,3D6.00188BD5FA,QUHO
Y728,3D6.00188BD5F3,QUHO
Y736,3D6.001879B7FE,QUPE
Y737,3D6.00188BD623,QUHO
Y738,3D6.00188BD629,QUHO
Y739,3D6.00188BD624,QUHO
Y739,3DD.003C0230EC,QUHO
Y740,3D6.00188BD5ED,QUHO
Y741,3D6.00188BD62C,QUHO
Y741,3D6.1D59306407,QUHO
Y742,3D6.00188BD5F5,QUHO
Y746,3D6.00188BD630,QUHO
Y750,3D6.00188BD62D,QUHO
Y751,3D6.00188BD636,QUHO
Y752,3D6.00188BD618,QUHO
Y753,3D6.00188BD5F4,QUHO
Y754,3D6.00188BD5E9,QUHO
Y755,3D6.00188BD63F,QUHO
Y756,3D6.00188BD638,QUPE
Y757,3D6.00188BD601,QUHO
Y765,3D6.00188BD622,QUPE
Y766,3D6.00188BD639,TRMA
Y767,3D6.00188BD628,QUHO
Y768,3D6.00188BD610,QUHO
Y769,3D6.00188BD612,QUHO
Y770,3D6.00188BD633,QUHO
Y771,3D6.00188BD625,QUHO
Y772,3D6.00188BD62B,QUHO
Y773,3D6.00188BD5FB,QUHO
Y774,3D6.00188BD5E3,QUHO
Y775,3D6.00188BD5DE,QUPE
Y776,3D6.00188BD63D,QUHO
Y777,3D6.00188BD63C,QUHO
Y777,3D6.1D593063E5,QUHO
Y778,3D6.00188BD5F7,QUHO
Y779,3D6.00188BD613,QUHO
Y781,3D6.00188BD602,QUPE
Y782,3D6.00188BD5E2,QUHO
Y783,3D6.00188BD621,QUHO
Y786,3D6.00188BD627,QUPE
Y787,3D6.00188BD61D,QUHO
Y788,3D6.00188BD60C,QUHO
Y789,3D6.00188BD5EB,QUHO
Y790,3D6.00188BD5F8,QUHO
Y800,3DD.003C00D6BB,QUPE
Y801,3DD.003C00D6B4,TRMA
Y802,3DD.003C00D6A7,TRMA
Y803,3DD.003C00D6CD,QUHO
Y804,3DD.003C00D68C,QUHO
Y805,3DD.003C00D6DE,QUPE
Y806,3DD.003C00D6C0,QUHO
Y807,3DD.003C00D6D0,QUHO
Y808,3DD.003C00D6DD,QUHO
Y809,3DD.003C00D698,QUHO
Y810,3D6.00188BD60E,QUHO
Y811,3DD.003C00D6CB,QUHO
Y812,3DD.003C00D664,QUHO
Y813,3DD.003C00D680,QUPE
Y814,3DD.003C00D6DB,QUHO
Y815,3DD.003C00D67F,QUHO
Y816,3DD.003C00D6A1,QUHO
Y817,3DD.003C00D67D,QUHO
Y818,3DD.003C00D6C2,QUPE
Y819,3DD.003C00D696,QUHO
Y820,3DD.003C00D682,QUHO
Y821,3DD.003C00D697,
Y822,3DD.003C00D6CF,QUHO
Y823,3DD.003C00D69E,QUHO
Y824,3DD.003C00D6AB,QUHO
Y825,3DD.003C00D6C7,QUHO
Y826,3DD.003C00D684,QUHO
Y827,3DD.003C00D689,QUHO
Y828,3DD.003C00D6A9,QUHO
Y829,3DD.003C00D690,QUHO
Y830,3DD.003C00D691,QUHO
Y831,3DD.003C00D69F,QUHO
Y832,3DD.003C00D6AC,QUHO
Y833,3DD.003C00D683,QUHO
Y834,3DD.003C00D6D4,QUHO
Y835,3DD.003C00D6B5,QUHO
Y835,3D6.1D593063F4,QUHO
Y835,3D6.1D593063FA,QUHO
Y836,3DD.003C00D6B3,QUHO
Y837,3DD.003C00D6D9,QUHO
Y838,3DD.003C00D699,QUHO
Y839,3DD.003C00D6A3,QUHO
Y840,3DD.003C00D6B6,QUHO
Y857,3DD.003C00D685,QUPE
Y858,3DD.003C00D6D5,QUHO
Y859,3DD.003C00D6DA,QUHO
Y860,3DD.003C00D6CA,QUHO
Y861,3D6.00188BD617,QUHO
Y862,3D6.00188BD62E,QUHO
Y864,3D6.00188BD5FE,QUPE
Y865,3D6.00188BD608,TRMA
Y866,3D6.00188BD620,QUPE
Y866,3DD.003C023101,QUPE
Y868,3D6.00188BD5F6,QUHO
Y869,3D6.00188BD5E5,QUHO
Y869,3D6.1D593063FC,QUHO
Y870,3DD.003C00D6AA,QUHO
Y872,3D6.00188BD5E0,QUHO
Y874,3D6.00188BD600,QUPE
Y876,3D6.00188BD619,TRMA
Y878,3D6.00188BD634,TRMA
Y879,3D6.00188BD61B,QUPE
Y879,3D6.1D5930640A,QUPE
Y887,3DD.003C00D6D8,QUPE
Y888,3D6.00188BD606,QUHO
Y888,3DD.003C07F866,QUHO
Y889,3D6.00188BD5FD,QUHO
Y890,3D6.00188BD635,QUHO
Y891,3D6.00188BD5E7,QUHO
Y892,3D6.00188BD5EC,QUHO
Y893,3D6.00188BD60D,QUHO
Y894,3D6.00188BD609,QUHO
Y895,3D6.00188BD616,QUPE
Y897,3D6.00188BD607,QUHO
Y898,3D6.00188BD5E6,QUHO
Y899,3D6.00188BD5EA,QUHO
Y921,3D6.1D59306404,QUPE
Y992,3DD.003C00D6D2,QUPE
Y993,3DD.003C00D68D,QUPE
Y994,3DD.003C00D69B,QUPE
Y995,3DD.003C00D69D,QUPE
Y996,3DD.003C00D693,QUPE
Y997,3DD.003C00D6DF,QUPE
Y998,3DD.003C00D6C5,QUPE
Y999,3DD.003C00D687,QUPE
Y835,3D6.1D59584EBA,QUHO
Y025,3D6.1D59584EB3,QUHO
G074/074,3D6.1D59584EF3,TOTE
G084/084,3D6.1D59584F04,TOTE
G064/064,3D6.1D59584F0C,QUHO
G035/035,3D6.1D59584EB4,QUHO
G094/094,3D6.1D59584EE9,QUHO
G018/018,3D6.1D59584F00,QUHO
