floy_id,species,mussel_id,X4.28.2017,X4.29.2017,X4.30.2017,X8.1.2017,X8.2.2017,X8.3.2017,X11.10.2017,X11.11.2017,X11.12.2017,X4.20.2018,X4.21.2018,X4.22.2018,X8.10.2018,X8.11.2018,X8.12.2018
W438,QUHO,W438-QUHO,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
W440,QUPE,W440-QUPE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W441,QUHO,W441-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W442,QUHO,W442-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W451,QUHO,W451-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W452,QUPE,W452-QUPE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W456,QUHO,W456-QUHO,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
W460,QUPE,W460-QUPE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W461,QUHO,W461-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W470,QUHO,W470-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W471,QUHO,W471-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W475,QUHO,W475-QUHO,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
W480,QUPE,W480-QUPE,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
W481,QUHO,W481-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W490,QUHO,W490-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W491,QUHO,W491-QUHO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W682,QUHO,W682-QUHO,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Y000Y001Y045,QUHO,Y000Y001Y045-QUHO,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
Y002Y014,QUHO,Y002Y014-QUHO,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0
Y003Y013,QUHO,Y003Y013-QUHO,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0
Y004,QUHO,Y004-QUHO,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y005,QUHO,Y005-QUHO,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Y006,QUHO,Y006-QUHO,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y006Y009,QUPE,Y006Y009-QUPE,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Y007,QUHO,Y007-QUHO,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Y008,QUHO,Y008-QUHO,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Y009,QUHO,Y009-QUHO,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Y010,QUHO,Y010-QUHO,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y011,QUHO,Y011-QUHO,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Y012,QUHO,Y012-QUHO,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Y015,QUHO,Y015-QUHO,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y016,QUHO,Y016-QUHO,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y017,QUHO,Y017-QUHO,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Y018,QUHO,Y018-QUHO,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y019,QUHO,Y019-QUHO,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Y020,QUHO,Y020-QUHO,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Y021,QUHO,Y021-QUHO,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1
Y022,QUHO,Y022-QUHO,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Y023Y024,QUHO,Y023Y024-QUHO,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1
Y025,QUHO,Y025-QUHO,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
Y026,QUHO,Y026-QUHO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Y027,QUHO,Y027-QUHO,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Y028,QUHO,Y028-QUHO,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y029,QUHO,Y029-QUHO,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Y030,QUHO,Y030-QUHO,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Y031,QUHO,Y031-QUHO,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Y033,QUHO,Y033-QUHO,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Y033Y025,QUHO,Y033Y025-QUHO,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Y034,QUHO,Y034-QUHO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Y034Y026,QUHO,Y034Y026-QUHO,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Y035,QUHO,Y035-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Y036,QUHO,Y036-QUHO,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Y037,QUHO,Y037-QUHO,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y038,QUHO,Y038-QUHO,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Y039,QUHO,Y039-QUHO,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Y040,QUHO,Y040-QUHO,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y041,QUHO,Y041-QUHO,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Y042,QUHO,Y042-QUHO,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Y042Y012,QUPE,Y042Y012-QUPE,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Y043,QUHO,Y043-QUHO,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y044,QUHO,Y044-QUHO,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Y046,QUHO,Y046-QUHO,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Y047,QUHO,Y047-QUHO,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y048,QUHO,Y048-QUHO,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Y049,QUHO,Y049-QUHO,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Y050,QUHO,Y050-QUHO,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Y051,QUPE,Y051-QUPE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y052,QUHO,Y052-QUHO,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Y053,QUPE,Y053-QUPE,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Y054,QUPE,Y054-QUPE,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y055,QUHO,Y055-QUHO,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y056,QUPE,Y056-QUPE,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Y057,QUPE,Y057-QUPE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y058,QUPE,Y058-QUPE,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Y059,QUHO,Y059-QUHO,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Y060,QUPE,Y060-QUPE,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y061,QUPE,Y061-QUPE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y062,QUPE,Y062-QUPE,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Y063,QUPE,Y063-QUPE,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Y064,QUPE,Y064-QUPE,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y065,QUPE,Y065-QUPE,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y066,QUPE,Y066-QUPE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y067,QUPE,Y067-QUPE,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Y068,QUPE,Y068-QUPE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y069,QUPE,Y069-QUPE,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y070,QUPE,Y070-QUPE,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Y071,QUPE,Y071-QUPE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Y072,QUHO,Y072-QUHO,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Y085,QUHO,Y085-QUHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Y100Y110,QUHO,Y100Y110-QUHO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Y101Y102,QUHO,Y101Y102-QUHO,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Y168Y188,QUHO,Y168Y188-QUHO,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Y189Y197,QUHO,Y189Y197-QUHO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Y198Y199,QUHO,Y198Y199-QUHO,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Y299,QUHO,Y299-QUHO,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Y300,QUHO,Y300-QUHO,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Y301,QUHO,Y301-QUHO,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Y302,QUHO,Y302-QUHO,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Y303,QUHO,Y303-QUHO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Y304,QUHO,Y304-QUHO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Y305,QUHO,Y305-QUHO,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Y306,QUHO,Y306-QUHO,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Y307,QUHO,Y307-QUHO,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y308,QUHO,Y308-QUHO,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y309,QUHO,Y309-QUHO,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Y310,QUHO,Y310-QUHO,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Y311,QUHO,Y311-QUHO,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Y312,QUHO,Y312-QUHO,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
