floy_id,pit_id,species,mussel_id
W398,3D6.1D593063E3,QUHO,W398-QUHO
W398W399,,AMPL,W398W399-AMPL
W398W399,,AMPL,W398W399-AMPL
W400W401,,AMPL,W400W401-AMPL
W400W401,,AMPL,W400W401-AMPL
W402W405,,AMPL,W402W405-AMPL
W403,,AMPL,W403-AMPL
W404,,AMPL,W404-AMPL
W402W405,,AMPL,W402W405-AMPL
W406W408,,AMPL,W406W408-AMPL
W407W409,,AMPL,W407W409-AMPL
W407W409,,AMPL,W407W409-AMPL
W410W941,,AMPL,W410W941-AMPL
W410W941,,AMPL,W410W941-AMPL
W411,3DD.003C023112,QUHO,W411-QUHO
W412,3DD.003C02310D,QUHO,W412-QUHO
W412W413,,AMPL,W412W413-AMPL
W413,3DD.003C0230FD,QUHO,W413-QUHO
W414W415,,AMPL,W414W415-AMPL
W416W417,,AMPL,W416W417-AMPL
W418,3DD.003C0230D0,QUHO,W418-QUHO
W418W419,,AMPL,W418W419-AMPL
W419,3DD.003C026433,QUHO,W419-QUHO
W420,3DD.003C026BF5,QUPE,W420-QUPE
W420W421,,AMPL,W420W421-AMPL
W421,3DD.003C023109,QUPE,W421-QUPE
W422,3DD.003C023115,QUHO,W422-QUHO
W422W423,,AMPL,W422W423-AMPL
W423,3DD.003C0230FA,QUHO,W423-QUHO
W424W425,,AMPL,W424W425-AMPL
W427,3DD.003C07F847,QUPE,W427-QUPE
W427,,AMPL,W427-AMPL
W428W431,,AMPL,W428W431-AMPL
W429W430,,AMPL,W429W430-AMPL
W429W430,,AMPL,W429W430-AMPL
W430,3DD.003C023108,QUHO,W430-QUHO
W431,3DD.003C02311B,QUPE,W431-QUPE
W432,3DD.003C0230DF,QUPE,W432-QUPE
W432W433,,AMPL,W432W433-AMPL
W433,3DD.003C023118,QUHO,W433-QUHO
W438,3DD.003C07F870,QUHO,W438-QUHO
W440,3DD.003C023107,QUPE,W440-QUPE
W441,3DD.003C023114,QUHO,W441-QUHO
W442,3DD.003C02310B,QUHO,W442-QUHO
W450W451,,AMPL,W450W451-AMPL
W450W451,,AMPL,W450W451-AMPL
W451,3DD.003C023103,QUHO,W451-QUHO
W452,3DD.003C0230F6,QUPE,W452-QUPE
W452W453,,AMPL,W452W453-AMPL
W454W455,,AMPL,W454W455-AMPL
W456,3DD.003C07F83B,QUHO,W456-QUHO
W456W457,,AMPL,W456W457-AMPL
W458W459W675,,AMPL,W458W459W675-AMPL
W458W459W675,,AMPL,W458W459W675-AMPL
W458W459W675,,AMPL,W458W459W675-AMPL
W458W459W675,,AMPL,W458W459W675-AMPL
W460,3DD.003C02310E,QUPE,W460-QUPE
W461,3DD.003C02311A,QUHO,W461-QUHO
W462,3DD.003C026417,QUHO,W462-QUHO
W462W463,,AMPL,W462W463-AMPL
W466W467,,AMPL,W466W467-AMPL
W468W469,,AMPL,W468W469-AMPL
W470,3DD.003C02310C,QUHO,W470-QUHO
W470W471,,AMPL,W470W471-AMPL
W471,3DD.003C023116,QUHO,W471-QUHO
W472W473,,AMPL,W472W473-AMPL
W472W473,,AMPL,W472W473-AMPL
W472W473,,AMPL,W472W473-AMPL
W474W475,,AMPL,W474W475-AMPL
W474W475,,AMPL,W474W475-AMPL
W475,3DD.003C07F871,QUHO,W475-QUHO
W476W477,,AMPL,W476W477-AMPL
W478W479,,AMPL,W478W479-AMPL
W480,3DD.003C0230F0,QUPE,W480-QUPE
W481,3DD.003C023113,QUHO,W481-QUHO
W484W485,,AMPL,W484W485-AMPL
W486W487,,AMPL,W486W487-AMPL
W490,3DD.003C0230E6,QUHO,W490-QUHO
W491,3DD.003C0230F2,QUHO,W491-QUHO
W491,,AMPL,W491-AMPL
W492W493,,AMPL,W492W493-AMPL
W495,,AMPL,W495-AMPL
W496W497,,AMPL,W496W497-AMPL
W498W499,,AMPL,W498W499-AMPL
W500W501,,AMPL,W500W501-AMPL
W500W501,,AMPL,W500W501-AMPL
W502W503,,AMPL,W502W503-AMPL
W504,,AMPL,W504-AMPL
W510,,AMPL,W510-AMPL
W512W513,,AMPL,W512W513-AMPL
W516W517,,AMPL,W516W517-AMPL
W518W519W579W587W619,,AMPL,W518W519W579W587W619-AMPL
W520,,AMPL,W520-AMPL
W522W523,,AMPL,W522W523-AMPL
W524W525,,AMPL,W524W525-AMPL
W528W529,,AMPL,W528W529-AMPL
W530W531,,AMPL,W530W531-AMPL
W530W531,,AMPL,W530W531-AMPL
W532W533,,AMPL,W532W533-AMPL
W534W535,,AMPL,W534W535-AMPL
W536W537,,AMPL,W536W537-AMPL
W538W539,,AMPL,W538W539-AMPL
W540,,AMPL,W540-AMPL
W540W541,,AMPL,W540W541-AMPL
W542W543,,AMPL,W542W543-AMPL
W544W918,,AMPL,W544W918-AMPL
W546W547,,AMPL,W546W547-AMPL
W546W547,,AMPL,W546W547-AMPL
W552W553,,AMPL,W552W553-AMPL
W554W555,,AMPL,W554W555-AMPL
W554W555,,AMPL,W554W555-AMPL
W556W557,,AMPL,W556W557-AMPL
W558W559,,AMPL,W558W559-AMPL
W558W559,,AMPL,W558W559-AMPL
W560W561,,AMPL,W560W561-AMPL
W560W561,,AMPL,W560W561-AMPL
W562W576,,AMPL,W562W576-AMPL
W567W568,,AMPL,W567W568-AMPL
W569W570,,AMPL,W569W570-AMPL
W569W570,,AMPL,W569W570-AMPL
W571W573,,AMPL,W571W573-AMPL
W574W575,,AMPL,W574W575-AMPL
W518W519W579W587W619,,AMPL,W518W519W579W587W619-AMPL
W518W519W579W587W619,,AMPL,W518W519W579W587W619-AMPL
W518W519W579W587W619,,AMPL,W518W519W579W587W619-AMPL
W580,,AMPL,W580-AMPL
W584W585,,AMPL,W584W585-AMPL
W589W590,,AMPL,W589W590-AMPL
W591W592,,AMPL,W591W592-AMPL
W593W594,,AMPL,W593W594-AMPL
W596,,AMPL,W596-AMPL
W597W598,,AMPL,W597W598-AMPL
W599W700,,AMPL,W599W700-AMPL
W600W601,,AMPL,W600W601-AMPL
W602,,AMPL,W602-AMPL
W603W604,,AMPL,W603W604-AMPL
W605W606,,AMPL,W605W606-AMPL
W609W610,,AMPL,W609W610-AMPL
W609W610,,AMPL,W609W610-AMPL
W611W612,,AMPL,W611W612-AMPL
W611W612,,AMPL,W611W612-AMPL
W615W616,,AMPL,W615W616-AMPL
W621W622,,AMPL,W621W622-AMPL
W625W626,,AMPL,W625W626-AMPL
W627W628,,AMPL,W627W628-AMPL
W629W630,,AMPL,W629W630-AMPL
W631W632,,AMPL,W631W632-AMPL
W633W634,,AMPL,W633W634-AMPL
W635W636,,AMPL,W635W636-AMPL
W637W638,,AMPL,W637W638-AMPL
W639W640,,AMPL,W639W640-AMPL
W641,,AMPL,W641-AMPL
W641,,AMPL,W641-AMPL
W643W645,,AMPL,W643W645-AMPL
W649W551,,AMPL,W649W551-AMPL
W650W651,,AMPL,W650W651-AMPL
W652W653,,AMPL,W652W653-AMPL
W654W655,,AMPL,W654W655-AMPL
W656W657W658W659,,AMPL,W656W657W658W659-AMPL
W656W657W658W659,,AMPL,W656W657W658W659-AMPL
W656W657W658W659,,AMPL,W656W657W658W659-AMPL
W656W657W658W659,,AMPL,W656W657W658W659-AMPL
W660W661,,AMPL,W660W661-AMPL
W661W671,,CYTA,W661W671-CYTA
W662W665W672,,AMPL,W662W665W672-AMPL
W662W665W672,,AMPL,W662W665W672-AMPL
W662W665W672,,AMPL,W662W665W672-AMPL
W662W665W672,,AMPL,W662W665W672-AMPL
W662W665W672,,AMPL,W662W665W672-AMPL
W676W695,,CYTA,W676W695-CYTA
W481W681W691,,AMPL,W481W681W691-AMPL
W682,3DD.003C07F860,QUHO,W682-QUHO
W481W681W691,,AMPL,W481W681W691-AMPL
W695,,AMPL,W695-AMPL
W710W624,,AMPL,W710W624-AMPL
W711W712,,AMPL,W711W712-AMPL
W713W714,,AMPL,W713W714-AMPL
W715W716,,AMPL,W715W716-AMPL
W717W720,,AMPL,W717W720-AMPL
W718W719,,AMPL,W718W719-AMPL
W723W724,,AMPL,W723W724-AMPL
W729,,AMPL,W729-AMPL
W731,,AMPL,W731-AMPL
W732,,AMPL,W732-AMPL
W733,,AMPL,W733-AMPL
W743,,AMPL,W743-AMPL
W744,,AMPL,W744-AMPL
W745,,AMPL,W745-AMPL
W747,,AMPL,W747-AMPL
W748,,AMPL,W748-AMPL
W758,,AMPL,W758-AMPL
W759,,AMPL,W759-AMPL
W760,,AMPL,W760-AMPL
W761,,AMPL,W761-AMPL
W762,,AMPL,W762-AMPL
W763,,AMPL,W763-AMPL
W764,,AMPL,W764-AMPL
W784W795,,AMPL,W784W795-AMPL
W790,,AMPL,W790-AMPL
W791W792,,AMPL,W791W792-AMPL
W793W794,,AMPL,W793W794-AMPL
W796W797,,AMPL,W796W797-AMPL
W798W799,,AMPL,W798W799-AMPL
W810,,AMPL,W810-AMPL
W820,,AMPL,W820-AMPL
W830,,AMPL,W830-AMPL
W831,,AMPL,W831-AMPL
W840,,AMPL,W840-AMPL
W841W842,,AMPL,W841W842-AMPL
W843W844,,AMPL,W843W844-AMPL
W845W846,,AMPL,W845W846-AMPL
W847W848,,AMPL,W847W848-AMPL
W849W850,,AMPL,W849W850-AMPL
W849W850,,AMPL,W849W850-AMPL
W851W852,,AMPL,W851W852-AMPL
W851W852,,AMPL,W851W852-AMPL
W855W856,,AMPL,W855W856-AMPL
W861,,AMPL,W861-AMPL
W867,,AMPL,W867-AMPL
W871,,AMPL,W871-AMPL
W877,,AMPL,W877-AMPL
W880,,AMPL,W880-AMPL
W881,,AMPL,W881-AMPL
W882,,AMPL,W882-AMPL
W883,,AMPL,W883-AMPL
W884,,AMPL,W884-AMPL
W885,,AMPL,W885-AMPL
W886,,AMPL,W886-AMPL
W890,,AMPL,W890-AMPL
W900W902,,AMPL,W900W902-AMPL
W903W904,,AMPL,W903W904-AMPL
W906W907,,AMPL,W906W907-AMPL
W908,,AMPL,W908-AMPL
W910W912,,AMPL,W910W912-AMPL
